job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
Application Developer,US Signal Company LLC,https://www.indeed.com/cmp/US-Signal,"Grand Rapids, MI 49503 (Heartside area)","2+ years experience working in a software development, programmer or software engineer role.",EmployerActive 16 days ago,
,"CU*Answers, Inc.","https://www.indeed.com/jobs?q=Cu*answers,+Inc&l=Grand+Rapids,+MI&nc=jasx","Grand Rapids, MI 49546","The Programmer is responsible for responsible for writing readable, maintainable code, testing and debugging assigned projects on the IBMi system.",Posted3 days ago,Estimated $45.3K – $57.3K a year
Web Developer,Macatawa Bank,https://www.indeed.com/cmp/Macatawa-Bank,"Holland, MI 49424",The Web Developer is responsible for providing technical solutions to complex business problems.,Posted30+ days ago,Estimated $67.7K – $85.7K a year
Junior Full Stack Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",College degree (Associates or Bachelors).,Posted30+ days ago,Estimated $72.7K – $92.1K a year
,Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2s8t8ks7eq800&jk=f02477081f514863&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAgCglub3JtdGl0bGUaE2Zyb250IGVuZCBkZXZlbG9wZXI%253D,"Remote in Kentwood, MI+6 locations","Work with our clients' end users, the founding team, and a team of elite software engineers to fundamentally change developer experience across the blockchain…",Posted1 day ago,Estimated $89.9K – $114K a year
Junior CSS/HTML Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",College degree (Associates or Bachelors).,Posted30+ days ago,Estimated $65.4K – $82.8K a year
Entry Level Java Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI",College degree (Associates or Bachelors).,Posted30+ days ago,Estimated $67K – $84.8K a year
Software Developer,Preferred Welding,https://www.indeed.com/cmp/Preferred-Welding,"Holland, MI 49424","The ideal candidate will be proficient in PHP, MySQL, HTML, and JavaScript, with C Sharp Windows development.",EmployerActive 2 days ago,Estimated $58.2K – $73.6K a year
,Manufacturing Action Group,"https://www.indeed.com/q-Manufacturing-Action-Group-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49546","MAGI offers a competitive benefits package, including medical, dental, 401K program, paid vacations and holidays.",Posted4 days ago,Estimated $69.4K – $87.8K a year
Junior Software Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",College degree (Associates or Bachelors).,Posted30+ days ago,Estimated $61.8K – $78.2K a year
LabWindow Software Developer,Belcan LLC,https://www.indeed.com/cmp/Belcan-LLC,"Grand Rapids, MI",This is a full-time direct position with benefits.,EmployerActive 7 days ago,
Computer Programmer,"Stenger & Stenger, PC","https://www.indeed.com/q-Stenger-&-Stenger,-PC-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49546","The firm’s IT Team is looking for a meticulous and technically skilled Computer Programmer to develop and support our organization's systems, software, and…",EmployerActive 14 days ago,
Software Developer II,Springthrough,https://www.indeed.com/cmp/Springthrough,"Grand Rapids, MI 49546+1 location",Participate in the full life-cycle duties to bring clients projects to completion all the while exceeding their expectations.,EmployerActive 2 days ago,
Software Engineering Opportunities,Performance,https://www.indeed.com/addlLoc/redirect?tk=1fr2s8t8ks7eq800&jk=2d980c422e164e7c&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252FQs9YOqhAeCglub3JtdGl0bGUaEXNvZnR3YXJlIGVuZ2luZWVy,"Grand Rapids, MI 49546+1 location",We are looking for passionate Software Engineers to design and develop software solutions for upcoming projects.,Posted10 days ago,Estimated $77.6K – $98.2K a year
Cloud Software Developer,Open Systems Technologies Inc,"https://www.indeed.com/jobs?q=Open+Systems+Technologies+Inc&l=Grand+Rapids,+MI&nc=jasx","Grand Rapids, MI 49504 (West Grand area)",Cloud Software Developer (Full-time | Remote).,Posted16 days ago,Estimated $81.8K – $104K a year
SOFTWARE ENGINEER II,Tgw Systems Inc,https://www.indeed.com/cmp/Tgw-Systems,"Grand Rapids, MI 49546","This is a mid-level position that will contribute to a team effort in all aspects of software engineering including design, development, testing, and support.",Posted30+ days ago,Estimated $80K – $101K a year
Software Developer,Pro-Vision Video Systems,https://www.indeed.com/cmp/Pro--vision-Video-Systems,"Remote in Grand Rapids, MI",PRO-VISION Video Systems is looking for a Software Developer to join their growing company.,Posted15 days ago,Estimated $82.2K – $104K a year
